"id";"Grischun_Display";"Grischun_Search";"Sursilvan_Display";"Sursilvan_Search";"Sutsilvan_Display";"Sutsilvan_Search";"Surmiran_Display";"Surmiran_Search";"Puter_Display";"Puter_Search";"Vallader_Display";"Vallader_Search";"German_Display";"German_Search";"French_Display";"French_Search";"Italian_Display";"Italian_Search";"English_Display";"English_Search";"Conjugation";"Lexical_Class_D";"Lexical_Class_R";"Source_Table_Name";"Source_Table_Row_ID"
4424;"locataria";"locataria";"locataria";"locataria";"locataria";"locataria";"fittadigna";"fittadigna";"fittadina";"fittadina";"fittadina";"fittadina";"Mieterin, Pächterin";"mieterin, pächterin";"locataire";"locataire";"inquilina";"inquilina";"tenant (f)";"tenant";"";"Nomen (f)";"num feminin";"meinpledari";3430
4425;"affitader, locatur";"affitader, locatur";"affitader, locatur";"affitader, locatur";"locatur";"locatur";"affittader, locatour";"affittader, locatour";"fitteder";"fitteder";"fittader";"fittader";"Vermieter";"vermieter";"bailleur";"bailleur";"proprietario";"proprietario";"landlord";"landlord";"";"Nomen (m)";"num masculin";"meinpledari";3431
4426;"affitadra, locatura";"affitadra, locatura";"affitadra, locatura";"affitadra, locatura";"locatura";"locatura";"affittadra, locatoura";"affittadra, locatoura";"fittedra";"fittedra";"fittadra";"fittadra";"Vermieterin";"vermieterin";"bailleuse";"bailleuse";"proprietaria";"proprietaria";"landlady";"landlady";"";"Nomen (f)";"num feminin";"meinpledari";3432
4427;"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"locomotiva";"Lokomotive";"lokomotive";"locomotive";"locomotive";"locomotiva";"locomotiva";"locomotive, loco, engine";"locomotive, loco, engine";"";"Nomen (f)";"num feminin";"meinpledari";3433
4428;"locomotivist";"locomotivist";"maschinist, locomotivist";"maschinist, locomotivist";"maschinist (da locomotivas)";"maschinist";"maschinist (da locomotivas)";"maschinist da locomotivas";"maschinist da locomotiva";"maschinist da locomotiva";"maschinist da locomotiva";"maschinist da locomotiva";"Lokomotivführer";"lokomotivführer";"conducteur de locomotive";"conducteur de locomotive";"locomotorista";"locomotorista";"engine driver (m)";"engine driver";"";"Nomen (m)";"num masculin";"meinpledari";3434
4429;"locomotivista";"locomotivista";"maschinista, locomotivista";"maschinista, locomotivista";"maschinista (da locomotivas)";"maschinista";"maschinista (da locomotivas)";"maschinista da locomotivas";"maschinista da locomotiva";"maschinista da locomotiva";"maschinista da locomotiva";"maschinista da locomotiva";"Lokomotivführerin";"lokomotivführerin";"conductrice de locomotive";"conductrice de locomotive";"locomotorista";"locomotorista";"engine driver (f)";"engine driver";"";"Nomen (f)";"num feminin";"meinpledari";3435
4430;"logic";"logic";"logic";"logic";"logic";"logic";"logic";"logic";"logic";"logic";"logic";"logic";"logisch";"logisch";"logique";"logique";"logico";"logico";"logical";"logical";"";"Adjektiv";"adjectiv";"meinpledari";3436
4431;"logica";"logica";"logica";"logica";"logica";"logica";"logica";"logica";"logica";"logica";"logica";"logica";"Logik";"logik";"logique";"logique";"logica";"logica";"logic";"logic";"";"Nomen (f)";"num feminin";"meinpledari";3437
4432;"lom";"lom";"lom";"lom";"leav, lom";"leav, lom";"lomm, lev";"lomm, lev";"pulmun";"pulmun";"pulmun";"pulmun";"Lunge";"lunge";"poumon";"poumon";"polmone";"polmone";"lung";"lung";"";"Nomen (f)";"num feminin";"meinpledari";3438
4433;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"molle, morbido";"molle, morbido";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3439
4434;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"molle, morbido";"molle, morbido";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3440
4435;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"comodo";"comodo";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3439
4436;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"comodo";"comodo";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3440
4437;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"molle, morbido";"molle, morbido";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3439
4438;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"molle, morbido";"molle, morbido";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3440
4439;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"comodo";"comodo";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3439
4440;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"comodo";"comodo";"soft";"soft, soft-voiced";"";"Adjektiv";"adjectiv";"meinpledari";3440
4441;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"molle, morbido";"molle, morbido";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3439
4442;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"molle, morbido";"molle, morbido";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3440
4443;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"comodo";"comodo";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3439
4444;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"mou
(f: molle)";"mou, molle";"comodo";"comodo";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3440
4445;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"molle, morbido";"molle, morbido";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3439
4446;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"molle, morbido";"molle, morbido";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3440
4447;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"comodo";"comodo";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3439
4448;"lom, loma";"lom, loma";"lom, loma";"lom, loma";"lom";"lom";"lom (f: lomma)";"lomma";"lam (f: lamma)";"lamma";"lom (f: lomma)";"lomma";"weich";"weich";"doux
(f: douce)";"doux, douce";"comodo";"comodo";"cosy";"cosy";"";"Adjektiv";"adjectiv";"meinpledari";3440
4449;"chaschiel lom";"chaschiel lom";"caschiel lom";"caschiel lom";"caschiel lom";"caschiel lom";"caschiel lom";"caschiel lom";"chaschöl lam";"chaschöl lam";"chaschöl lom";"chaschöl lom";"Weichkäse";"weichkäse";"fromage à pâte molle";"fromage à pâte molle";"formaggio a pasta molle";"formaggio a pasta molle";"soft cheese";"soft cheese";"";"Nomen (m)";"num masculin";"meinpledari";3441
4450;"lumiar";"lumiar, lomian";"lumiar";"lumiar, lumieschan";"lamgnear";"lamgnear, lomgna";"lomger (aint)";"lomger, lomgia";"(al)lamger";"lamger, allamger";"lomgiar";"lomgiar";"aufweichen";"aufweichen";"ramollir";"ramollir";"ammollire";"ammollire";"soften";"soften";"";"Verb";"verb";"meinpledari";3442
4451;"vegnir lom";"vegnir lom";"vegnir lom";"vegnir lom";"vagnir lom";"vagnir lom";"neir lom(ma)";"neir lom";"gnir lam(ma)";"gnir lamma";"gnir lom(ma)";"gnir lomma";"aufweichen";"aufweichen";"se ramollir";"se ramollir";"rammollirsi";"rammollirsi";"soften";"soften";"";"Verb";"verb";"meinpledari";3443
4452;"Londra";"londra";"Londra";"londra";"Londra";"londra";"Londra";"londra";"Londra";"londra";"Londra";"londra";"London";"london";"Londres";"londres";"Londra";"londra";"London";"london";"";"Nomen";"num feminin";"meinpledari";3444
4453;"per lung da, lung";"per lung da, lung";"per liung (da)";"per liung";"suainter";"suainter";"dalos, per lung da";"dalos, per lung da";"lung";"lung";"lung";"lung";"entlang";"entlang";"le long de";"le long de";"lungo";"lungo";"along";"along";"";"Präposition";"preposiziun";"meinpledari";3445
4454;"lontan";"lontan, lontana";"lontan";"lontan";"lontàn";"lontàn";"lontan";"lontan";"luntaun, distant";"luntaun, distant";"lontan";"lontan";"fern, weit, weit weg";"fern, weit, weit weg";"lointain
(f: lointaine); dans le lointain";"lointain; lointaine, dans le lointain";"lontano";"lontano";"distant, remote, faraway, a long way away";"distant, remote, faraway, a long way away";"";"Adjektiv";"adjectiv";"meinpledari";3446
4455;"lontan";"lontan";"lontan";"lontan";"lontàn";"lontàn";"lontan";"lontan";"luntaun";"luntaun";"lontan";"lontan";"Ferne";"ferne";"lointain";"lointain";"distanza";"distanza";"distance, faraway places, distant places, remote places";"distance, faraway places, distant places, remote places";"";"Nomen (f)";"num masculin";"meinpledari";3447
4456;"distant";"distant";"distant";"distant";"distànt";"distànt";"distant";"distant";"distant";"distant";"distant";"distant";"entfernt, abgelegen, abstehend";"entfernt, abgelegen, abstehend";"distant
(f: distante)";"distant, distant";"distante";"distante";"distant, remote";"distant, remote";"";"Adjektiv";"adjectiv";"meinpledari";3448
4457;"Losanna";"losanna";"Losanna";"losanna";"Losanna";"losanna";"Losanna";"losanna";"Losanna";"losanna";"Losanna";"losanna";"Lausanne";"lausanne";"Lausanne";"lausanne";"Losanna";"losanna";"Lausanne";"lausanne";"";"Nomen";"num feminin";"meinpledari";3449
4458;"lottaria";"lottaria";"lottaria";"lottaria";"lotareia";"lotareia";"lottareia";"lottareia";"lottaria";"lottaria";"lottaria";"lottaria";"Lotterie";"lotterie";"loterie";"loterie";"lotteria";"lotteria";"lottery";"lottery";"";"Nomen (f)";"num feminin";"meinpledari";3450
4459;"lottaria";"lottaria";"lottaria";"lottaria";"lotareia";"lotareia";"nomer da lottareia";"nomer da lottareia";"lottaria";"lottaria";"lottaria";"lottaria";"Lotterielos";"lotterielos";"billet de loterie";"billet de loterie";"biglietto della lotteria";"biglietto della lotteria";"lottery ticket";"lottery ticket";"";"Nomen (n)";"num feminin";"meinpledari";3451
4460;"belma, glitta, lozza";"belma, glitta, lozza";"lozza, gliet, glietta";"lozza, gliet, glietta";"bielma";"bielma";"lozza, balma";"lozza, balma";"belma";"belma";"belma";"belma";"Schlamm, Morast, Schmutz";"schlamm, morast, schmutz";"boue";"boue";"melma";"melma";"sludge";"sludge";"";"Nomen";"num feminin";"meinpledari";3453
4461;"lozza";"lozza";"lozza";"lozza";"loza";"loza";"lozza";"lozza";"";"";"";"";"Dreck, Schlamm";"dreck, schlamm";"saleté, boue";"saleté, boue";"fango";"fango";"dirt, mud";"dirt, mud";"";"Nomen (m)";"num feminin";"meinpledari";3452
4462;"luar";"luar";"luar
(jeu liuel)";"luar, liuel";"luar";"luar";"livar";"livar";"alguer";"alguer";"alguar";"alguar";"schmelzen";"schmelzen";"fondre";"fondre";"sciogliere";"sciogliere";"melt";"melt";"";"Verb";"verb";"meinpledari";3454
4463;"autorisaziun";"autorisaziun";"autorisaziun";"autorisaziun";"autorisaziùn";"autorisaziùn";"autorisaziun";"autorisaziun";"autorisaziun";"autorisaziun";"autorisaziun";"autorisaziun";"Authorisierun, Erlaubnis";"authorisierung erlaubnis";"autorisation";"autorisation";"autorizzazione";"autorizzazione";"authorisation, permit, permission";"authorisation, permit, permission";"";"Nomen (f)";"num feminin";"meinpledari";3455
4464;"lubientscha";"lubientscha";"lubientscha";"lubientscha";"lubientscha";"lubientscha";"lubientscha";"lubientscha";"permiss (m)";"permiss";"permiss (m)";"permiss";"Erlaubnis";"erlaubnis";"permission";"permission";"permesso";"permesso";"permit, permission, authorisation";"permit, permission, authorisation, authorization";"";"Nomen (f)";"num feminin";"meinpledari";3456
4465;"permetter";"permetter";"permetter";"permetter";"parmeter";"parmeter, parmatagn";"permetter";"permetter";"permetter";"permetter";"permetter";"permetter";"erlauben";"erlauben";"permettre, autoriser";"permettre, autoriser";"permettere";"permettere";"allow, permit";"allow, permit";"";"Verb";"verb";"meinpledari";3457
4466;"lubir";"lubir, lubeschan";"lubir";"lubir, lubeschan, lubiu, lubida";"lubir";"lubir, lubescha";"lubeir";"lubeir";"lubir";"lubir";"lubir";"lubir";"erlauben";"erlauben";"permettre, autoriser";"permettre, autoriser";"permettere";"permettere";"allow, permit";"allow, permit";"";"Verb";"verb";"meinpledari";3458
4467;"autorisar";"autorisar";"autorisar";"autorisar";"autorisar";"autorisar";"autorisar";"autorisar";"autoriser";"autoriser";"autorisar";"autorisar";"erlauben, authorisieren";"erlauben, authorisieren";"autoriser";"autoriser";"autorizzare";"autorizzare";"authorise";"authorise, authorize";"";"Verb";"verb";"meinpledari";3459
4468;"luc
(f: lucca)";"luc, lucca";"luc (f: lucca)";"luc, lucca";"luc";"luc";"loc (f: locca)";"loc, locca";"luoch";"luoch";"loc (f: locca)";"loc, locca";"locker, lose";"locker, lose";"lâche, branlant
(f: branlante), coulant
(f: coulante)";"lâche, branlant, branlante, coulant, coulante";"libero, slegato";"libero, slegato";"loose";"loose";"";"Adjektiv";"adjectiv";"meinpledari";3460
4469;"ludar";"ludar, laudan";"ludar
(jeu laudel)";"ludar, laudan, laudel";"ludar";"ludar, loda";"ludar";"ludar, loda";"luder";"luder";"lodar";"lodar";"loben";"loben";"louer/féliciter";"louer/féliciter";"lodare";"lodare";"praise";"praise";"";"Verb";"verb";"meinpledari";3461
4470;"ludra";"ludra";"ludra";"ludra";"ludra";"ludra";"ludra";"ludra";"lutra";"lutra";"lutra";"lutra";"Fischotter, Otter";"fischotter, otter";"loutre";"loutre";"lontra";"lontra";"otter";"otter";"";"Nomen";"num feminin";"meinpledari";3462
4471;"luf";"luf";"luf";"luf";"luf";"luf";"louf";"louf";"luf";"luf";"luf";"luf";"Wolf";"wolf";"loup";"loup";"lupo";"lupo";"wolf";"wolf, wolves, he-wolf";"";"Nomen (m)";"num masculin";"meinpledari";3463
4472;"luffa";"luffa";"lufffa";"lufffa";"lufa";"lufa";"loufa, loua";"loufa, loua";"luffa";"luffa";"luffa";"luffa";"Wölfin";"wölfin";"louve";"louve";"lupa";"lupa";"wolf, she-wolf";"wolf, wolves, she-wolf";"";"Nomen (f)";"num feminin";"meinpledari";3464
4473;"luf-tscherver";"luf-tscherver";"luf-tscherver";"luf-tscherver";"luf tscharver";"luf tscharver";"louf-tscherver";"louf-tscherver";"luf tscharver";"luf tscharver";"luf tscharver";"luf tscharver";"Luchs";"luchs";"lynx";"lynx";"lince (m)";"lince";"lynx (m)";"lynx";"";"Nomen (m)";"num masculin";"meinpledari";3465
4474;"Lumbardia";"lumbardia";"Lumbardia";"lumbardia";"Lumbardia";"lombardeia";"Lumbardeia";"lumbardeia";"Lombardia";"lombardia";"Lombardia";"lombardia";"Lombardei";"lombardei";"Lombardie";"lombardie";"Lombardia";"lombardia";"Lombardy";"lombardy";"";"Nomen (f)";"num feminin";"meinpledari";3466
4475;"Lumnezia";"lumnezia";"Lumnezia";"lumnezia";"Lumnezia";"lumnezia";"Lumnezia";"lumnezia";"Lumnezia";"lumnezia";"Lumnezia";"lumnezia";"Lugnez";"lugnez";"Lumnezia (Lugnez)";"lumnezia, lugnez";"Lumnezia";"lumnezia";"Lumnezia (Lugnez)";"lumnezia, lugnez";"";"Nomen";"num feminin";"meinpledari";3467
4476;"lumparia";"lumparia";"lumparia";"lumparia";"lumpareia";"lumpareia";"lumpareia";"lumpareia";"lumparia";"lumparia";"lumparia";"lumparia";"Unfug, Streich, Lumpenstück, Spitzbubenstreich, Gauerei";"unfug, streich, lumpenstück, spitzbubenstreich, gauerei";"(vilaine) blague de gamin";"vilaine blague";"espediente";"espediente";"trick, mischief";"trick, mischief";"";"Nomen";"num feminin";"meinpledari";3468
4477;"luna";"luna";"luna";"luna";"luna";"luna";"luna";"luna";"glüna";"glüna";"glüna";"glüna";"Laune";"laune";"humeur";"humeur";"luna";"luna";"mood, humour";"mood, humour";"";"Nomen (f)";"num feminin";"meinpledari";3469
4478;"lung";"lung, lunga";"liung";"liung";"lùng";"lùng";"lung";"lung";"lung (f: lungia)";"lung, lungia";"lung";"lung";"lang";"lang";"long
(f: longue)";"long, longue";"lungo";"lungo";"long";"long";"";"Adjektiv";"adjectiv";"meinpledari";3470
4479;"a la lunga";"a la lunga";"alla liunga";"alla liunga";"a la lùnga";"lùng";"alla lunga";"alla lunga";"a l'inlungia";"a l'inlungia";"inlunga";"inlunga";"auf die Dauer, auf die Länge";"auf die dauer, auf die länge";"à la longue";"à la longue";"alla lunga";"alla lunga";"in the long run, in the long term";"long run, long term";"";"Adverb";"adverb";"meinpledari";3471
4480;"lunghezza";"lunghezza";"lunghezia";"lunghezia";"lùngeztga, lùngezia";"lùngeztga, lùngezia";"lunghezza";"lunghezza";"lungezza";"lungezza";"lunghezza";"lunghezza";"Länge";"länge";"longueur";"longueur";"lunghezza";"lunghezza";"length";"length";"";"Nomen (f)";"num feminin";"meinpledari";3472
4481;"lungurella";"lungurella";"liunguriala";"liunguriala";"lungureala";"lungureala";"lungurela";"lungurela";"lungurella";"lungurella";"lungurella";"lungurella";"Langeweile";"langeweile";"ennui";"ennui";"noia";"noia";"boredom";"boredom";"";"Nomen (f)";"num feminin";"meinpledari";3473
4482;"avair lungurella";"avair lungurella";"haver liunguriala";"haver liunguriala";"aver lùngureala";"aver lungureala";"aveir lungurela";"aveir lungurela";"avair lungurella";"avair lungurella";"avair lungurella";"avair lungurella";"Langeweile haben";"langeweile haben";"s'ennuyer";"s'ennuyer";"annoiarsi";"annoiarsi";"bored";"bored";"";"kompl. Ausdruck";"expressiun verbala";"meinpledari";3474
4483;"lungurus";"lungurus";"lungurus";"lungurus";"lungurus";"lungurus";"lungurous, unfisevel (f: unfisevla)";"lungurous, unfisevel, unfisevla";"lungurus";"lungurus";"lungurus";"lungurus";"langweilig";"langweilig";"ennuyeux
(f: ennuyeuse)";"ennuyeux, enuyeuse";"noioso";"noioso";"boring";"boring";"";"Adjektiv";"adjectiv";"meinpledari";3475
4484;"lunsch davent (da)";"lunsch davent";"lunsch naven (da)";"lunsch naven";"lientsch davent da, lientsch, dalientsch, agl lontan";"lientsch davent da, lientsch, dalientsch, agl lontan";"gliunsch davent (da)";"gliunsch davent";"dalöntsch davent (da)";"dalöntsch davent";"dalöntsch davent (da)";"dalöntsch davent";"fern, weit, weit weg";"fern, weit, weit weg";"loin de";"loin de";"lontano (da)";"lontano da";"far away, a long way away";"far away, a long way away";"";"Adverb";"adverb";"meinpledari";3476
4485;"lutga";"lutga";"lutga";"lutga";"lutga";"lutga";"lotga";"lotga";"luotta";"luotta";"luotta";"luotta";"Kampf";"kampf";"lutte";"lutte";"lotta";"lotta";"fight, struggle, wrestling";"fight, struggle";"";"Nomen";"num feminin";"meinpledari";3477
4486;"Luxemburg";"luxemburg";"Luxemburg";"luxemburg";"Luxemburg";"luxemburg";"Luxemburg";"luxemburg";"Luxemburg";"luxemburg";"Luxemburg";"luxemburg";"Luxemburg";"luxemburg";"Luxembourg";"luxembourg";"Lussemburgo";"lussemburgo";"Luxembourg";"luxembourg, luxemburg";"";"Nomen";"num masculin";"meinpledari";3478
4487;"luxemburgais";"luxemburgais";"luxemburghes";"luxemburghes";"Luxemburghes";"luxemburghes";"luxemburges";"luxemburges";"luxemburgais";"luxemburgais";"luxemburgais";"luxemburgais";"luxemburgisch";"luxemburgisch";"luxembourgeois
(f: luxembourgeoise)";"luxembourgeois, luxembourgeoise";"lussemburghese";"lussemburghese";"Luxembourg(ian)";"luxembourgian";"";"Adjektiv";"adjectiv";"meinpledari";3479
4488;"luxemburgais";"luxemburgais";"luxemburghes";"luxemburghes";"luxemburges";"luxemburges";"luxemburghes";"luxemburghes";"luxemburgais";"luxemburgais";"luxemburgais";"luxemburgais";"Luxemburgisch";"luxemburgisch";"dialecte luxembourgeois";"dialecte luxembourgeois";"lussemburghese";"lussemburghese";"Lëtzebuergesch, Luxembourgian";"lëtzebuergesch, luxembourgian";"";"Nomen";"num masculin";"meinpledari";3480
4489;"Luxemburgais";"luxemburgais";"Luxemburghes";"luxemburghes";"Luxemburghes";"luxemburghes";"Luxemburges";"luxemburges";"Luxemburgais";"luxemburgais";"Luxemburgais";"luxemburgais";"Luxemburger";"luxemburger";"Luxembourgeois";"luxembourgeois";"lussemburghese";"lussemburghese";"Luxembourger (m)";"luxembourger";"";"Nomen (m)";"num masculin";"meinpledari";3481
4490;"Luxemburgaisa";"luxemburgaisa";"Luxemburghesa";"luxemburghesa";"Luxemburghesa";"luxemburghesa";"Luxemburgesa";"luxemburgesa";"Luxemburgaisa";"luxemburgaisa";"Luxemburgaisa";"luxemburgaisa";"Luxemburgerin";"luxemburgerin";"Luxembourgeoise";"luxembourgeoise";"lussemburghese";"lussemburghese";"Luxembourger (f)";"luxembourger";"";"Nomen (f)";"num feminin";"meinpledari";3482
4491;"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"luxus";"Luxus";"luxus";"luxe";"luxe";"lusso";"lusso";"luxury";"luxury";"";"Nomen (m)";"num masculin";"meinpledari";3483
4492;"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzerna";"luzerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzern";"luzern";"Lucerne";"lucerne";"Lucerna";"lucerna";"Lucerne";"lucerne";"";"Nomen";"num feminin";"meinpledari";3484
4493;"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzerna";"luzerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzern";"luzern";"Lucerne";"lucerne";"Lucerna";"lucerna";"Lucerne";"lucerne";"";"Nomen";"num feminin";"meinpledari";3485
4494;"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzerna";"luzerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzern";"luzern";"Lucerne (canton de)";"lucerne";"Lucerna";"lucerna";"Lucerne";"lucerne";"";"Nomen";"num feminin";"meinpledari";3484
4495;"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzerna";"luzerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Lucerna";"lucerna";"Luzern";"luzern";"Lucerne (canton de)";"lucerne";"Lucerna";"lucerna";"Lucerne";"lucerne";"";"Nomen";"num feminin";"meinpledari";3485
4496;"lucernais";"lucernais";"lucernes";"lucernes";"luzernes";"luzernes";"lucernes";"lucernes";"lucernais";"lucernais";"lucernais";"lucernais";"Luzerner";"luzerner";"lucernois
(f: lucernoise)";"lucernois, lucernoise";"lucernese";"lucernese";"Lucerne
of (Canton) Lucerne";"lucerne";"";"Adjektiv";"adjectiv";"meinpledari";3486
4497;"Lucernais";"lucernais";"Lucernes";"lucernes";"Luzernes";"luzernes";"Lucernes";"lucernes";"Lucernais";"lucernais";"Lucernais";"lucernais";"Luzerner";"luzerner";"Lucernois";"lucernois";"lucernese";"lucernese";"citizen (or native or inhabitant) of Lucerne (m)";"lucerne";"";"Nomen";"num masculin";"meinpledari";3487
4498;"Lucernaisa";"lucernaisa";"Lucernesa";"lucernesa";"Luzernesa";"luzernesa";"Lucernesa";"lucernesa";"Lucernaisa";"lucernaisa";"Lucernaisa";"lucernaisa";"Luzerner";"luzerner";"Lucernoise";"lucernoise";"lucernese";"lucernese";"citizen (or native or inhabitant) of Lucerne (f)";"lucerne";"";"Nomen";"num feminin";"meinpledari";3488
4499;"macaruns";"macaruns";"macaruns";"macaruns";"macarùns";"macarùns";"macarungs";"macarungs";"macaruns";"macaruns";"macaruns";"macaruns";"Makkaroni";"makkaroni";"macaronis";"macaronis";"maccheroni";"maccheroni";"macaroni";"macaroni";"";"Nomen";"num masculin plural";"meinpledari";3489
4500;"madir";"madir, madira";"madir";"madir";"madir";"madir";"madeir";"madeir";"madür";"madür";"madür";"madür";"reif";"reif";"mûr
(f: mûre)";"mûr, mûre";"maturo";"maturo";"mature";"mature";"";"Adjektiv";"adjectiv";"meinpledari";3490
4501;"madirar";"madirar";"madirar";"madirar, madireschan";"madirar";"madirar";"madirar";"madirar, madeiran";"madürer";"madürer";"madürar";"madürar";"reifen";"reifen";"mûrir";"mûrir";"maturare";"maturare";"mature";"mature";"";"Verb";"verb";"meinpledari";3491
4502;"Madulain";"madulain";"Madulain";"madulain";"Madulain";"madulain";"Madulain";"madulain";"Madulain";"madulain";"Madulain";"madulain";"Madulain";"madulain";"Madulain";"madulain";"Madulain";"maduain";"Madulain";"madulain";"";"Nomen";"num masculin";"meinpledari";3492
4503;"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"etwa";"etwa";"assez, plus ou moins, en tous les cas";"assez, plus ou moins, en tous les cas";"magari";"magari";"sort of?, kind of?, (""kinda?"")";"";"";"Adverb";"adverb";"meinpledari";3493
4504;"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"ziemlich, gar, sogar, allenfalls, recht ordentlich";"ziemlich, gar, sogar, allenfalls, recht ordentlich";"assez, plus ou moins, en tous les cas";"assez, plus ou moins, en tous les cas";"magari";"magari";"sort of?, kind of?, (""kinda?"")";"";"";"Adverb";"adverb";"meinpledari";3494
4505;"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"magari";"etwa";"etwa";"une sorte de";"une sorte de";"magari";"magari";"sort of?, kind of?, (""kinda?"")";"";"";"Adverb";"adverb";"meinpledari";3493
